frame,score
0,3-3
1,3-3
2,3-3
3,3-3
4,3-3
5,3-3
6,3-3
7,3-3
8,3-3
9,3-3
10,3-3
11,3-3
12,3-3
13,3-3
14,3-3
15,3-3
16,3-3
17,3-3
18,3-3
19,3-3
20,3-3
21,3-3
22,3-3
23,3-3
24,3-3
25,3-3
26,3-3
27,3-3
28,3-3
29,3-3
30,3-3
31,3-3
32,3-3
33,3-3
34,3-3
35,3-3
36,3-3
37,3-3
38,3-3
39,3-3
40,3-3
41,3-3
42,3-3
43,3-3
44,3-3
45,3-3
46,3-3
47,3-3
48,3-3
49,3-3
50,3-3
51,3-3
52,3-3
53,3-3
54,3-3
55,3-3
56,3-3
57,3-3
58,3-3
59,3-3
60,3-3
61,3-3
62,3-3
63,3-3
64,3-3
65,3-3
66,3-3
67,3-3
68,3-3
69,3-3
70,3-3
71,3-3
72,3-3
73,3-3
74,3-3
75,3-3
76,3-3
77,3-3
78,3-3
79,3-3
80,3-3
81,3-3
82,3-3
83,3-3
84,3-3
85,3-3
86,3-3
87,3-3
88,3-3
89,3-3
90,3-3
91,3-3
92,3-3
93,3-3
94,3-3
95,3-3
96,3-3
97,3-3
98,3-3
99,3-3
100,3-3
101,3-3
102,3-3
103,3-3
104,3-3
105,3-3
106,3-3
107,3-3
108,3-3
109,3-3
110,3-3
111,3-3
112,3-3
113,3-3
114,3-3
115,3-3
116,3-3
117,3-3
118,3-3
119,3-3
120,3-3
121,3-3
122,3-3
123,3-3
124,3-3
125,3-3
126,3-3
127,3-3
128,3-3
129,3-3
130,3-3
131,3-3
132,3-3
133,3-3
134,3-3
135,3-3
136,3-3
137,3-3
138,3-3
139,3-3
140,3-3
141,3-3
142,3-3
143,3-3
144,3-3
145,3-3
146,3-3
147,3-3
148,3-3
149,3-3
150,3-3
151,3-3
152,3-3
153,3-3
154,3-3
155,3-3
156,3-3
157,3-3
158,3-3
159,3-3
160,3-3
161,3-3
162,3-3
163,3-3
164,3-3
165,3-3
166,3-3
167,3-3
168,3-3
169,3-3
170,3-3
171,3-3
172,3-3
173,3-3
174,3-3
175,3-3
176,3-3
177,3-3
178,3-3
179,3-3
180,3-3
181,3-3
182,3-3
183,3-3
